Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean
2026-09-17 09:44:23.754,Статья,В Самару вернулись Салтыков и Ахметов,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aaa514ba859423cd30018a4,17,460,29,0,0,1,0,0,,,,0.06304347826086956,0.5862068965517241,0.0,,2026-09,Thursday,9,9,0.06304347826086956,0.5862068965517241,0.0
2026-09-16 09:10:52.135,Статья,Акрон укрепил атаку в последний день трансферного окна - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa92cbba4af3e4d6493c8f2,7492,75303,12654,0,1,27,25,0,,,,0.16804111389984464,0.5920657499604868,0.0034703683929524828,,2026-09,Wednesday,9,9,0.16804111389984464,0.5920657499604868,0.0034703683929524828
2026-09-15 10:12:00.401,Статья,Интересный факты восьмого тура РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa7e030de525e75790bc6d8,2136,48779,3649,897,1,4,8,0,43.81,43.78,0.0,0.07480678160683901,0.5853658536585366,0.004213483146067416,20.510299625468168,2026-09,Tuesday,10,9,0.07480678160683901,0.5853658536585366,0.004213483146067416
2026-09-14 11:12:30.350,Статья,Новый вингер в Динамо / Родина подписала игрока сборной Колумбии - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa7a47cafd5287dd418a2a8,6235,59449,9223,4045,4,17,32,0,197.61,196.81,0.0,0.1551413816885061,0.6760273229968556,0.005773857257417803,31.693664795509225,2026-09,Monday,11,9,0.1551413816885061,0.6760273229968556,0.005773857257417803
2026-09-13 13:20:00.007,Статья,Хлусевич перешел в Ростов / Бабаев поехал в аренду в Рубин - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa672d89e713b44ffe1671c,3132,55300,4241,1567,0,9,8,0,76.57,76.38,0.0,0.07669077757685352,0.7385050695590663,0.002554278416347382,24.447637292464876,2026-09,Sunday,13,9,0.07669077757685352,0.7385050695590663,0.002554278416347382
2026-09-12 09:10:50.457,Статья,УЕФА впервые с 2022 года зарезервировал квоты для участие в еврокубках,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa3c4221d611576aae74bf3,987,33355,1835,548,2,3,14,0,26.77,26.73,0.0,0.05501424074351671,0.5378746594005449,0.016210739614994935,27.1225937183384,2026-09,Saturday,9,9,0.05501424074351671,0.5378746594005449,0.016210739614994935
2026-09-11 12:04:10.998,Статья,Итог трансферной компании - Спартак не успел подписать Самородова,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa3b33d52be1f6636b809c5,1186,6565,1608,436,4,1,19,0,21.310000000000002,21.26,0.0,0.24493526275704494,0.7375621890547264,0.0193929173693086,17.967959527824622,2026-09,Friday,12,9,0.24493526275704494,0.7375621890547264,0.0193929173693086
2026-09-10 12:38:15.975,Статья,"Спартак и Головин, будет ли трансфер?",https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa2735ba710e26cc855d729,14108,112097,17698,11056,36,56,77,0,540.15,538.1,0.0,0.15788112081500844,0.7971522205898972,0.008009639920612419,38.286787638219444,2026-09,Thursday,12,9,0.15788112081500844,0.7971522205898972,0.008009639920612419
2026-09-09 12:28:34.021,Статья,Рубин нашел замену Даку / Оренбург покупает французского нападающего - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6aa11fe4c363c374e6802ba5,6376,65074,8487,3645,2,13,35,0,178.07999999999998,177.54,0.0,0.1304207517595353,0.7512666431012136,0.0058030112923462985,27.929736511919696,2026-09,Wednesday,12,9,0.1304207517595353,0.7512666431012136,0.0058030112923462985
2026-09-08 12:39:12.735,Статья,Иван Олейников переходит в ЦСКА / Бекао возвращается в РПЛ - Трансферы РПЛ,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6a9fce69f7d12b1a2a17e47b,17030,99158,20366,11716,29,37,88,0,572.39,570.06,0.0,0.20538937856753867,0.8361975842089757,0.006870229007633588,33.61068702290076,2026-09,Tuesday,12,9,0.20538937856753867,0.8361975842089757,0.006870229007633588
