Дата публикации,Тип публикации,Публикация,Ссылка на публикацию,Дочитывания и просмотры,Показы,Открытия,Время просмотра в минутах,Комментарии,Подписки,Лайки,Стеллы,Суммарный доход,За время просмотра,Прочее,CTR,CR,ER,RPM,year_month,weekday,hour,month,CTR_clean,CR_clean,ER_clean,category,has_top_club,primary_club,is_transfer_window,title_length,title_words,has_slash,has_rumor,has_number,log_income,is_hit,days_since_start
2024-11-12 18:41:32.466,Статья,Лучшие трансферы лета в РПЛ №1. Эсекьель Барко,https://dzen.ru/media/id/6358cb994fee997bedba5cec/673374297562952dc5f177ec,28,1904,84,8,0,0,1,0,0.41,0.29,0.0,0.0441176470588235,0.3333333333333333,0.0357142857142857,14.642857142857142,2024-11,1,18,11,0.0441176470588235,0.3333333333333333,0.0357142857142857,Трансферы,0,Нет клуба,0,46,8,0,0,1,0.3435897043900769,0,0
2025-06-02 12:19:41.517,Статья,Спартак в ближайшее время могут покинуть несколько легионеров,https://dzen.ru/media/id/6358cb994fee997bedba5cec/683d6b2e52f1900086106f7f,1,33,1,1,0,0,0,0,0.06,0.06,0.0,0.0303030303030303,1.0,0.0,60.0,2025-06,0,12,6,0.0303030303030303,1.0,0.0,Другое,1,Спартак,1,61,8,0,0,0,0.05826890812397577,0,201
2025-06-06 16:03:41.473,Статья,Балтика - самый активный клуб на трансферном рынке,https://dzen.ru/media/id/6358cb994fee997bedba5cec/6842e695ac92ad7328e32526,6914,448332,15455,3932,7,56,76,0,196.45,195.99,0.0,0.0344722214787255,0.4473633128437398,0.0120046282904252,28.41336418860284,2025-06,4,16,6,0.0344722214787255,0.4473633128437398,0.0120046282904252,Трансферы,0,Балтика,1,50,8,0,0,0,5.285485387732658,0,205
2025-06-08 12:11:46.493,Статья,Краснодар берет еще одного защитника,https://dzen.ru/media/id/6358cb994fee997bedba5cec/684552f8614ba5050201cc35,1,158,1,1,0,0,0,0,0.03,0.03,0.0,0.0063291139240506,1.0,0.0,30.0,2025-06,6,12,6,0.0063291139240506,1.0,0.0,Другое,0,Краснодар,1,36,5,0,0,0,0.0295588022415444,0,207
2025-06-09 12:15:01.958,Статья,"Барко или Маркиньос, кто же все-таки был лучшим в прошлом сезоне?",https://dzen.ru/media/id/6358cb994fee997bedba5cec/6846a157bdb83b4509cf70aa,295,178254,1163,70,2,5,11,0,2.91,2.89,0.0,0.006524397769475,0.2536543422184006,0.0440677966101694,9.864406779661016,2025-06,0,12,6,0.006524397769475,0.2536543422184006,0.0440677966101694,Другое,0,Нет клуба,1,65,11,0,0,0,1.3635373739972745,0,208
2025-06-13 04:23:24.961,Статья,Спартак и Зенит нашли нападающих,https://dzen.ru/media/id/6358cb994fee997bedba5cec/684b78b763a6124524cc98a1,5,92,9,5,0,0,0,0,0.27,0.27,0.0,0.0978260869565217,0.5555555555555556,0.0,54.00000000000001,2025-06,4,4,6,0.0978260869565217,0.5555555555555556,0.0,Другое,1,Спартак,1,32,5,0,0,0,0.23901690047049992,0,212
2025-06-16 13:10:35.192,Статья,Балтика продолжает укреплять состав,https://dzen.ru/media/id/6358cb994fee997bedba5cec/684fe4f7a2f2e87b80a4e56d,1,38,4,1,0,0,1,0,0.04,0.0,0.0,0.1052631578947368,0.25,1.0,40.0,2025-06,0,13,6,0.1052631578947368,0.25,1.0,Другое,0,Балтика,1,35,4,0,0,0,0.039220713153281295,0,215
2025-06-25 00:26:51.715,Статья,"Осипенко в Динамо, а Ростов уже нашел ему замену / Официальные Трансферы РПЛ",https://dzen.ru/media/id/6358cb994fee997bedba5cec/685b1685de40075dbfd562cf,2,42,7,2,0,0,0,0,0.09,0.09,0.0,0.1666666666666666,0.2857142857142857,0.0,45.0,2025-06,2,0,6,0.1666666666666666,0.2857142857142857,0.0,Трансферы,0,Динамо,1,76,13,1,0,0,0.08617769624105233,0,224
2025-07-03 14:09:30.642,Статья,Изменения в ЦСКА - новый тренер / ряд футболистов покинули команду,https://dzen.ru/media/id/6358cb994fee997bedba5cec/686662a325512f3480599cdc,5,587,15,5,0,0,1,0,0.24,0.24,0.0,0.0255536626916524,0.3333333333333333,0.2,48.0,2025-07,3,14,7,0.0255536626916524,0.3333333333333333,0.2,Другое,1,ЦСКА,1,66,11,1,0,0,0.2151113796169455,0,232
2025-07-07 14:36:03.585,Статья,Большие изменения в Крыльях,https://dzen.ru/media/id/6358cb994fee997bedba5cec/686ba248b09752376f79bd72,1,59,3,2,0,0,0,0,0.06,0.06,0.0,0.0508474576271186,0.3333333333333333,0.0,60.0,2025-07,0,14,7,0.0508474576271186,0.3333333333333333,0.0,Другое,0,Нет клуба,1,27,4,0,0,0,0.05826890812397577,0,236
